   status                                                           copyright
10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [Follow the DNC Live: Biden’s speech, schedule, start time, streaming and more.]
11                                                                                                                                                                                                                                         DUNWOODY, Ga. — Aisha Adkins would rather have her own place, instead of living with her parents. She would also like a job, a car, a master’s degree and savings. But at 35, a decade after graduating from Georgia Southern University in Statesboro with a specialty in social services, she has had to put off those goals.
12                                                                       Whatever big plans Lisa Warner had for the year, the pandemic scrambled them. It forced online the biochemistry classes she taught as an assistant professor at Boise State University in Idaho, and it temporarily shut down her laboratory. Her 4-year-old son’s day care closed, and Dr. Warner felt her productivity wane. She feared for her chances of receiving tenure, the long-term job security that most early-career academics ardently pursue, by the 2024 deadline in her contract.
13                                                                                                                                                                                                                                                                                                                                                                        Nurses crying. That’s what I hear from the front lines treating Covid-19 patients. A nurse will begin the shift crying and end it crying. Crying. And we are not a profession that cries easily.
14                                                                                                                                                                                                                                                                                                                                                            When a parent travels for work, often the most challenging part of the trip is coming back. If you take business trips, here are seven suggestions on how to rejoin your family with a little less friction.
15                                                                                                                                                                                                                                                                                                                                                                               In the United States, 1.3 million mothers are out of work because of the pandemic. Their losses are more than economic. Across backgrounds and careers, they describe a loss of identity.
16                                                                                                                                                                                                                                                                                                                                                                                                        The start of the virtual school year has been a struggle for Patricia Reveles, a pharmacy technician at a CVS in Los Angeles, whose daughter is in fourth grade.
17                                                                                                                                                                                                                                                                                                                                                                                A few months ago, my biggest sources of anxiety were politics, my finances, and whether I’d make my next work deadline. Then one afternoon my mother called to tell me she had leukemia.
18                                                                                                                                                                                      Nearly one in five adult children at some point provide care for at least one elderly parent, according to a new study by the Center for Retirement Research at Boston College. The burden is particularly demanding for daughters, who spend as much time on such care as spouses of older adults, and as much time as sons, in-laws, grandchildren and other relatives combined.
19                                                                                                                                                                                                                                             In the summer of 2017, soon after starting a new job, Ariel Brandt Lautman took her two young children to Denver to visit her mother. This wasn’t purely a social call. Her mother’s memory had been deteriorating for several years, and Ms. Brandt Lautman, who lives in Silver Spring, Md., needed to plan for her care.
20 Q: Our family owns and operates a small apartment building in Manhattan. My husband and I live in the ground-floor unit, and the apartment two flights up is vacant. Because my husband has a chronic disease, we are exploring options for home care. Could we provide that vacant apartment, which is market rate, to a home aide as an employment benefit? What would happen if the relationship doesn’t work out and we want to replace the aide with someone else? Would they still have rights to the apartment, or could we directly tie the housing to the job?
21                                                                                                                                                                                                                                                                                                                                                                                                                                                                               A recent family crisis has taught me a lot about what it means to be a supportive friend.
22                                                                                                                                                                                                                                                                                                                   My infant daughter was diagnosed with a brain cancer nearly a year ago. She endured several surgeries and horrific side effects from her chemotherapy, which ultimately took her life on Christmas Eve. And yet, my family was one of the lucky ones.
23 Q: Our family owns and operates a small apartment building in Manhattan. My husband and I live in the ground-floor unit, and the apartment two flights up is vacant. Because my husband has a chronic disease, we are exploring options for home care. Could we provide that vacant apartment, which is market rate, to a home aide as an employment benefit? What would happen if the relationship doesn’t work out and we want to replace the aide with someone else? Would they still have rights to the apartment, or could we directly tie the housing to the job?
24                                                                                                                                                                                                                                                                                                                                                It was August, and Gina Rinehart was preparing for another school year as a special-education teacher in Hemet, Calif., when she got the call: Her father, Floyd Hall, was facing surgery to remove a tumor in his lung.
25                                                                                                                                                                                                                                                                                                             For years, scholars, activists and mothers have criticized policies that place the burden of child-rearing overwhelmingly on women. Increasingly, fathers are joining the criticism of these policies — and asserting their legal rights to challenge them.
26                                                                                                                                                                                                                                                                                                                                                                    As Washington debates the relative merits of health care legislation, many families have already come up with what is arguably the most reliable form of care in America: It’s called daughter care.
27       “Ducklings will imprint on anything that moves that’s bigger than a matchbox,” says Antone Martinho-Truswell, who co-founded the Duckling Laboratory at the University of Oxford while getting his doctorate in zoology. Ducks are what scientists call precocial birds — capable of feeding, swimming and walking soon after hatching. Still, ducklings are vulnerable, which is why the little puffballs evolved to seek and memorize the image of their mothers. Should a duckling hatch and not see her, it will eagerly imprint on something else, like you.
28                                                                                                                                                                                                                                                                                                                                           When a documentary’s talking heads use both “tsunami” and “sinkhole” to describe a problem, it gets your attention. And that is precisely the point of “Alzheimer’s: Every Minute Counts,” which PBS broadcasts on Wednesday.
29                                                                                                                                                                                                                                                                                                                                                                                                                                                              To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.
30                                                                                                                                                                                                                                                                                                                                                                                                                          How do people use, misuse or abuse Hipaa, the federal regulations protecting patients’ confidential health information? Let us count the ways:
   response.docs.source
1    The New York Times
2    The New York Times
3    The New York Times
4    The New York Times
5    The New York Times
6    The New York Times
7    The New York Times
8    The New York Times
9    The New York Times
10   The New York Times
11   The New York Times
12   The New York Times
13   The New York Times
14   The New York Times
15   The New York Times
16   The New York Times
17   The New York Times
18   The New York Times
19   The New York Times
20   The New York Times
21   The New York Times
22   The New York Times
23   The New York Times
24   The New York Times
25   The New York Times
26   The New York Times
27   The New York Times
28   The New York Times
29   The New York Times
30   The New York Times
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          response.docs.multimedia
